Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
28300,46,21,15,12,12,12
28400,46,21,15,12,12,12
28500,47,21,15,12,13,12
28600,47,21,15,12,12,13
28700,47,21,15,12,13,13
28800,47,21,15,12,13,13
28900,47,21,15,12,13,13
29000,47,21,15,12,13,13
29100,48,21,15,12,13,13
29200,48,21,15,13,13,13
29300,48,21,15,13,13,13
29400,48,21,15,13,13,13
29500,48,21,15,13,13,13
29600,49,21,15,13,13,13
29700,49,21,15,13,13,15
29800,49,22,15,13,13,14
29900,49,22,15,13,13,13
30000,49,22,16,13,13,13
30100,49,21,16,13,13,13
30200,50,21,16,13,13,14
30300,50,21,16,13,14,14
30400,50,21,16,13,14,14
30500,50,21,16,13,14,14
30600,50,22,16,13,14,14
30700,50,21,16,13,14,14
30800,51,22,16,13,14,14
30900,51,27,16,13,14,14
31000,51,22,16,13,14,14
31100,51,22,16,13,14,14
31200,51,22,16,13,14,14
31300,51,22,16,13,14,14
31400,51,22,16,13,14,14
31500,52,22,16,13,14,14
31600,52,22,16,14,14,14
31700,52,22,16,14,14,14
31800,52,22,16,14,14,14
31900,52,22,16,14,14,14
32000,53,22,16,14,14,15
32100,53,22,16,14,14,15
32200,53,22,16,14,14,15
32300,53,22,16,14,14,15
32400,53,22,16,14,14,15
32500,53,22,16,14,14,15
32600,53,22,16,14,14,15
32700,54,22,16,14,14,15
32800,54,22,17,14,14,15
32900,54,22,17,14,14,15
33000,54,22,17,14,14,15
33100,55,23,17,14,14,15
33200,54,22,17,14,14,15
33300,55,23,17,14,14,15
33400,55,23,17,14,14,16
33500,55,23,17,14,14,16
33600,55,23,17,14,14,16
33700,56,23,17,14,14,16
33800,56,23,17,14,14,16
33900,56,23,17,15,15,16
34000,56,23,17,15,15,16
34100,56,23,17,15,15,16
34200,56,23,17,15,15,16
34300,56,23,17,15,15,16
34400,57,23,17,15,15,16
34500,57,23,17,15,15,16
34600,57,23,17,15,15,16
34700,57,23,17,15,15,16
34800,57,23,17,15,15,16
34900,57,23,17,15,15,17
35000,58,23,17,15,15,17
35100,58,23,17,15,15,17
35200,58,23,17,15,15,17
35300,58,23,17,18,15,17
35400,63,23,18,15,15,17
35500,58,24,18,15,15,17
35600,59,23,18,15,15,17
35700,59,23,19,16,15,17
35800,59,24,18,15,15,17
35900,59,24,18,15,16,17
36000,60,24,18,16,16,17
36100,59,24,18,16,15,17
36200,60,24,18,16,16,17
36300,60,24,18,16,16,17
36400,60,24,18,16,16,18
36500,60,24,18,16,16,18
36600,60,24,18,16,16,18
36700,61,24,18,16,16,26
36800,62,24,18,16,16,18
36900,61,24,18,16,16,18
37000,61,24,18,16,16,18
37100,61,24,18,16,16,18
37200,61,24,18,16,16,18
37300,62,24,18,16,16,18
37400,62,24,18,16,16,18
37500,62,24,18,16,16,18
37600,62,24,18,16,16,18
37700,62,24,18,16,16,19
37800,63,24,18,16,16,19
37900,63,24,19,16,16,19
38000,63,24,19,16,17,19
38100,63,24,19,17,17,19
38200,63,24,19,17,17,19
38300,63,25,19,17,17,19
38400,63,25,19,17,17,19
38500,64,25,19,17,17,19
38600,64,25,19,17,17,19
38700,64,25,19,17,17,19
38800,64,25,19,17,17,19
38900,64,25,19,17,17,20
39000,65,25,19,17,17,19
39100,65,25,19,17,17,20
39200,65,25,19,17,17,20
39300,65,25,19,17,17,20
39400,65,25,19,17,17,20
39500,65,25,19,17,17,20
39600,68,25,19,17,17,20
39700,65,25,19,17,17,20
39800,66,25,19,17,17,20
39900,66,25,19,17,17,20
40000,66,25,19,17,17,20
40100,66,25,19,17,17,20
40200,66,25,19,17,18,20
40300,67,27,20,18,18,20
40400,67,25,19,18,18,21
40500,67,25,20,18,18,21
40600,67,25,20,18,18,21
40700,67,25,20,18,18,21
40800,68,26,20,18,18,21
40900,68,26,20,19,18,21
41000,68,26,20,18,18,25
41100,68,26,20,18,18,21
41200,68,26,20,18,18,21
41300,68,26,20,18,18,21
41400,68,26,21,19,18,21
41500,69,27,21,19,18,21
41600,69,27,21,19,18,22
41700,69,27,21,19,18,21
41800,69,27,21,19,18,22
41900,69,27,21,19,18,22
42000,69,27,22,19,18,22
42100,70,28,22,20,19,22
42200,70,28,22,20,19,22
42300,71,28,23,20,19,22
42400,70,28,23,20,19,22
42500,71,28,22,20,19,22
42600,71,29,23,20,19,22
42700,71,29,23,20,19,22
42800,72,29,23,20,19,23
42900,72,29,23,20,19,23
43000,71,29,24,21,19,23
43100,71,29,24,21,19,23
43200,72,30,24,21,19,23
43300,72,30,24,21,19,23
43400,72,30,24,21,19,23
43500,72,30,24,21,19,23
43600,72,30,24,21,19,23
43700,72,30,25,21,19,23
43800,72,31,25,21,19,23
43900,73,31,25,21,19,23
44000,73,31,25,21,19,23
44100,73,31,25,21,19,23
44200,73,31,26,21,20,24
44300,73,31,26,21,20,24
44400,73,32,26,21,20,24
44500,74,32,26,21,20,24
44600,74,32,26,21,20,24
44700,74,32,27,21,20,24
44800,74,32,27,21,20,25
44900,74,33,27,21,20,24
45000,74,33,27,21,20,24
45100,75,33,27,21,20,24
45200,75,33,27,21,20,24
45300,75,33,27,21,20,24
45400,75,33,27,21,20,25
45500,76,33,27,22,20,25
45600,76,34,27,22,20,25
45700,76,34,27,22,20,25
45800,76,34,27,22,20,25
45900,76,34,27,22,20,25
46000,76,35,27,22,21,25
46100,76,35,28,22,21,25
46200,77,35,28,22,21,25
46300,77,35,28,22,21,26
46400,77,35,28,22,21,25
46500,77,35,28,22,21,25
46600,77,36,28,22,21,26
46700,77,36,28,22,21,26
46800,77,36,28,22,21,26
46900,79,36,28,22,21,26
47000,78,36,28,22,21,26
47100,78,36,28,22,21,26
47200,78,37,28,22,21,26
47300,78,37,28,22,22,26
47400,79,37,28,22,21,26
47500,79,37,28,23,21,26
47600,79,37,29,22,21,26
47700,79,37,28,22,22,26
47800,79,38,28,23,22,27
47900,79,38,28,23,22,28
48000,80,38,28,23,22,27
48100,80,38,28,23,22,27
48200,80,38,28,23,22,27
48300,80,38,28,23,22,27
48400,80,39,28,23,22,27
48500,80,39,28,23,22,27
48600,81,39,29,23,22,27
48700,81,39,29,23,22,27
48800,81,39,29,23,22,27
48900,81,39,29,23,22,28
49000,81,40,29,23,22,28
49100,81,40,29,23,22,28
49200,82,40,29,23,22,28
49300,82,44,29,23,22,28
49400,82,40,29,23,22,28
49500,82,40,29,23,22,28
49600,82,40,29,23,22,28
49700,82,40,29,23,23,28
49800,83,41,29,24,23,28
49900,84,40,30,23,23,28
50000,83,40,29,23,23,28
50100,83,40,29,23,23,29
50200,83,40,29,23,23,29
50300,84,41,29,24,23,29
50400,84,40,29,24,23,29
50500,84,41,29,24,23,29
50600,84,41,29,24,23,29
50700,85,41,29,24,23,29
50800,85,41,30,24,23,29
50900,85,41,29,24,23,29
51000,85,41,30,24,23,30
51100,85,42,29,24,23,29
51200,85,41,30,24,24,30
51300,86,41,29,24,23,29
51400,86,41,30,24,24,29
51500,86,41,30,24,24,28
51600,86,41,30,24,24,27
51700,86,41,30,24,24,27
51800,87,41,30,25,24,26
51900,93,42,34,24,24,26
52000,87,41,30,24,24,25
