Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
40500,68,26,20,17,17,14
40600,69,27,20,17,17,15
40700,68,27,20,17,17,15
40800,70,27,21,17,17,15
40900,69,27,21,18,17,15
41000,69,27,20,17,17,15
41100,69,27,21,17,17,15
41200,69,27,21,17,17,15
41300,69,27,21,18,17,15
41400,70,27,21,18,17,15
41500,70,28,21,18,17,15
41600,70,28,22,18,17,15
41700,70,28,22,18,17,15
41800,70,28,22,19,17,15
41900,71,28,22,19,17,15
42000,71,28,23,19,23,15
42100,71,29,23,19,17,15
42200,71,29,23,19,17,15
42300,71,29,23,20,17,15
42400,72,29,24,20,17,15
42500,73,30,23,20,17,15
42600,72,30,24,21,17,15
42700,72,30,24,20,18,15
42800,72,31,24,21,18,15
42900,73,30,24,21,17,15
43000,74,30,25,21,18,15
43100,73,30,25,21,17,15
43200,73,31,25,21,17,15
43300,73,31,25,21,18,15
43400,73,31,25,22,18,15
43500,73,31,25,21,18,15
43600,73,31,25,21,18,15
43700,74,32,26,21,18,15
43800,74,32,26,21,18,15
43900,80,32,26,21,18,16
44000,74,32,26,21,18,16
44100,74,32,26,21,18,16
44200,75,32,27,22,18,16
44300,75,33,27,22,18,16
44400,75,33,27,22,18,16
44500,75,33,27,22,18,16
44600,75,33,27,22,18,16
44700,80,34,28,22,18,16
44800,75,34,28,22,18,16
44900,76,34,28,22,18,16
45000,76,34,28,22,18,16
45100,76,34,28,22,18,16
45200,77,34,28,22,18,16
45300,76,34,28,22,18,16
45400,76,35,28,22,18,16
45500,76,35,28,22,18,16
45600,77,35,28,22,18,16
45700,77,35,28,22,18,16
45800,77,35,28,22,18,16
45900,77,35,28,22,18,16
46000,77,36,29,22,18,16
46100,78,36,28,22,18,16
46200,78,36,28,22,19,16
46300,78,36,28,22,18,16
46400,78,36,29,23,18,16
46500,78,36,29,22,19,16
46600,78,37,29,22,19,16
46700,79,37,29,22,19,16
46800,79,37,29,22,19,16
46900,79,37,29,22,19,16
47000,79,37,29,22,19,16
47100,79,38,29,22,19,16
47200,80,38,29,23,19,16
47300,80,38,29,23,19,16
47400,80,38,29,23,19,17
47500,81,38,29,23,19,17
47600,81,38,29,23,19,17
47700,80,39,29,23,19,17
47800,80,39,29,23,19,17
47900,81,39,29,23,19,17
48000,81,39,29,23,19,17
48100,81,39,29,23,19,17
48200,81,39,29,23,19,17
48300,82,40,29,23,19,17
48400,81,40,29,23,19,17
48500,81,40,29,23,19,17
48600,82,40,29,23,19,17
48700,82,40,29,23,19,17
48800,82,40,29,23,19,17
48900,82,41,29,23,19,17
49000,82,41,30,23,19,17
49100,82,41,30,23,19,17
49200,83,41,30,23,20,17
49300,83,42,30,23,19,17
49400,83,41,30,23,19,17
49500,83,41,30,23,19,17
49600,83,41,30,23,19,17
49700,84,41,30,23,20,17
49800,84,42,31,24,20,17
49900,85,41,30,23,24,17
50000,84,42,30,23,20,17
50100,89,42,30,24,20,17
50200,85,42,30,24,20,17
50300,85,42,30,24,20,17
50400,86,42,30,24,20,17
50500,85,42,30,24,20,18
50600,86,42,30,24,20,18
50700,86,42,30,24,20,18
50800,86,42,30,24,20,17
50900,86,42,30,24,20,18
51000,86,42,30,24,20,18
51100,86,42,30,24,20,18
51200,87,42,30,24,20,18
51300,86,42,30,24,20,18
51400,87,42,30,24,20,18
51500,87,42,30,24,20,19
51600,87,42,31,24,20,19
51700,87,42,31,24,21,19
51800,88,43,31,24,20,19
51900,89,43,31,24,20,20
52000,88,42,31,24,20,20
52100,88,42,31,24,22,20
52200,88,43,31,24,20,20
52300,89,43,31,24,20,20
52400,89,42,31,24,20,20
52500,89,43,31,24,26,20
52600,90,43,31,25,21,21
52700,89,43,31,25,20,21
52800,91,43,31,24,21,21
52900,89,43,31,24,21,21
53000,89,43,31,25,21,21
53100,90,43,31,25,21,21
53200,90,43,31,25,21,21
53300,90,43,31,25,21,21
53400,90,43,31,25,21,21
53500,90,43,31,25,21,21
53600,90,43,31,25,21,21
53700,90,43,31,25,21,21
53800,91,43,31,25,21,21
53900,91,43,32,25,21,21
54000,91,43,31,25,21,21
54100,94,43,32,25,21,21
54200,92,43,32,25,21,21
54300,92,43,31,25,21,21
54400,92,43,31,25,21,21
54500,92,43,32,25,21,21
54600,92,44,32,25,21,21
54700,93,44,32,25,21,21
54800,93,43,32,25,21,21
54900,93,43,32,25,21,21
55000,93,44,32,25,21,21
55100,93,44,32,25,21,21
55200,94,44,32,25,21,21
55300,93,44,32,25,21,22
55400,94,44,32,26,21,21
55500,94,44,32,25,22,21
55600,94,44,32,25,21,21
55700,94,44,32,25,21,22
55800,95,44,32,25,22,21
55900,95,44,32,26,22,21
56000,95,44,32,25,21,22
56100,95,44,32,26,22,22
56200,95,44,32,26,22,22
56300,96,44,32,26,22,22
56400,96,44,32,26,22,22
56500,95,44,33,26,22,22
56600,96,44,32,26,22,22
56700,97,45,32,26,22,22
56800,99,46,32,26,22,22
56900,97,44,32,26,22,22
57000,97,44,33,26,23,22
57100,97,44,33,26,22,22
57200,97,45,33,26,22,22
57300,97,45,33,26,22,23
57400,98,45,33,26,22,22
57500,98,45,33,27,22,22
57600,99,44,33,26,22,22
57700,99,45,33,26,22,22
57800,100,45,33,26,23,22
57900,98,45,33,26,22,22
58000,98,45,33,26,22,22
58100,98,45,33,26,22,22
58200,98,45,33,26,22,22
58300,98,45,33,26,22,23
58400,99,45,33,26,22,23
58500,99,45,33,26,22,22
58600,99,45,33,26,22,22
58700,100,45,33,26,23,22
58800,100,45,33,26,24,22
58900,100,45,33,27,23,22
59000,101,45,33,27,23,22
59100,101,45,33,27,23,23
59200,101,45,34,27,23,23
59300,102,45,34,27,23,23
59400,101,45,34,27,23,23
59500,102,45,34,27,23,23
59600,101,45,33,27,23,23
59700,101,45,33,27,23,23
59800,101,45,34,27,23,23
59900,101,45,34,27,23,23
60000,102,45,34,27,23,23
60100,102,45,34,27,23,23
60200,102,46,34,27,23,23
60300,102,46,34,27,23,23
60400,102,46,34,27,23,23
60500,102,46,34,28,24,24
60600,108,46,34,27,23,23
60700,103,46,34,27,23,23
60800,103,46,34,27,23,23
60900,103,46,34,27,23,23
61000,103,46,34,27,23,23
61100,104,46,34,27,23,23
61200,103,46,34,27,23,23
61300,104,46,34,27,23,23
61400,104,46,34,27,23,23
61500,104,46,34,27,24,23
61600,104,46,34,27,24,23
61700,104,46,34,27,24,23
61800,105,46,34,28,24,23
61900,105,46,37,28,24,24
62000,105,46,34,28,25,24
62100,105,46,34,28,25,23
62200,105,46,35,28,25,24
62300,105,46,34,28,25,24
62400,106,46,34,28,25,24
62500,106,47,34,28,26,24
62600,106,47,35,28,26,24
62700,106,47,35,28,26,24
62800,106,47,37,28,27,24
62900,106,47,35,28,27,24
63000,107,47,35,28,27,24
63100,107,47,35,28,27,24
63200,107,47,35,28,27,24
63300,107,47,35,28,28,24
63400,107,47,35,28,28,24
63500,108,47,35,28,28,24
63600,108,47,35,28,28,24
63700,108,47,35,28,28,24
63800,108,47,35,28,28,24
63900,108,47,35,28,28,24
64000,108,47,35,28,28,24
64100,109,47,35,28,28,24
64200,109,48,35,33,28,24
64300,109,47,35,28,28,24
64400,109,47,35,28,29,24
64500,113,49,35,28,29,24
64600,110,48,35,28,28,24
64700,110,47,36,28,29,24
64800,110,47,35,29,29,24
64900,110,47,35,29,29,24
65000,110,47,35,29,29,24
65100,110,47,35,29,29,24
65200,110,48,35,29,29,24
65300,111,48,36,29,29,25
65400,111,48,36,29,29,25
65500,111,48,36,29,29,25
65600,111,48,36,29,29,25
65700,111,48,36,29,29,25
65800,111,48,36,29,29,25
65900,112,48,36,29,29,25
66000,112,48,36,29,29,25
66100,112,48,36,29,29,25
66200,113,71,37,37,30,27
66300,117,49,38,30,30,26
66400,116,52,37,30,30,26
66500,116,49,37,30,30,26
66600,117,51,37,30,30,25
66700,115,49,36,29,29,26
66800,113,48,38,29,29,25
66900,113,48,36,29,29,25
67000,114,48,36,29,29,25
67100,114,48,36,29,29,25
67200,114,48,36,29,29,25
67300,114,48,36,29,29,25
67400,115,49,36,30,29,25
67500,114,48,36,30,30,25
67600,115,49,36,30,29,25
67700,115,49,37,29,30,25
67800,115,49,37,30,30,25
67900,115,49,37,30,30,25
68000,116,49,37,30,30,25
68100,116,49,37,30,30,25
68200,115,49,37,30,30,25
68300,124,49,37,30,30,31
68400,116,49,37,30,30,25
68500,117,49,37,30,30,26
68600,116,49,37,30,30,26
68700,116,49,37,30,30,26
68800,117,49,38,31,31,26
68900,118,49,38,31,30,26
69000,117,49,37,30,30,26
69100,117,49,38,30,31,26
69200,118,50,37,30,30,26
69300,118,49,37,30,30,26
69400,119,50,37,30,30,26
69500,123,49,40,30,30,26
69600,118,49,37,30,30,26
69700,118,49,37,30,30,26
69800,118,49,37,30,30,26
69900,119,49,37,30,30,26
70000,119,49,37,30,30,26
70100,119,49,37,30,30,26
70200,119,49,37,30,30,26
70300,120,50,37,31,30,28
