Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
28000,49,24,18,15,15,15
28100,49,24,18,16,15,15
28200,49,24,19,16,15,15
28300,50,24,19,16,15,15
28400,50,24,19,16,15,15
28500,50,24,19,16,15,15
28600,50,24,19,16,15,15
28700,50,24,19,16,15,15
28800,51,25,19,16,15,15
28900,51,25,19,16,15,15
29000,51,25,19,16,15,15
29100,51,25,19,16,15,15
29200,51,25,19,16,15,15
29300,51,25,19,16,15,15
29400,52,25,19,16,16,15
29500,52,25,19,16,16,16
29600,52,25,19,16,16,16
29700,52,25,19,16,16,16
29800,53,25,20,17,16,16
29900,53,25,20,17,16,16
30000,53,25,20,17,16,16
30100,54,25,20,17,16,16
30200,54,25,20,17,16,16
30300,54,25,20,17,16,16
30400,54,25,20,17,16,16
30500,55,25,20,17,16,16
30600,55,26,20,17,17,16
30700,55,26,20,17,16,16
30800,55,26,20,17,16,16
30900,55,27,20,17,17,16
31000,55,26,21,17,17,16
31100,55,26,20,17,17,17
31200,55,26,20,17,17,17
31300,55,26,20,17,17,17
31400,55,26,20,17,17,17
31500,56,26,20,17,17,17
31600,56,26,20,17,17,17
31700,56,26,20,18,18,17
31800,56,26,20,18,18,17
31900,56,26,20,18,18,17
32000,57,26,20,18,18,17
32100,57,26,21,18,18,17
32200,57,26,21,18,18,17
32300,57,26,21,18,18,17
32400,57,26,21,18,18,17
32500,57,26,21,18,18,17
32600,57,27,21,18,18,18
32700,58,27,21,18,18,18
32800,58,27,21,18,18,18
32900,58,27,21,18,18,18
33000,58,27,21,18,18,18
33100,59,27,21,18,18,18
33200,59,27,21,18,18,18
33300,59,27,21,18,18,18
33400,59,27,21,18,18,18
33500,59,27,21,18,18,18
33600,59,27,21,19,19,18
33700,60,27,21,19,19,18
33800,60,27,21,19,19,18
33900,60,27,21,19,19,18
34000,60,27,21,19,19,18
34100,60,27,22,19,19,18
34200,60,27,22,19,19,18
34300,61,27,22,19,19,19
34400,61,28,22,19,19,19
34500,61,28,22,19,19,19
34600,61,28,22,19,19,19
34700,61,28,22,19,19,19
34800,61,28,22,19,19,19
34900,62,28,22,19,19,19
35000,62,28,22,19,19,19
35100,62,28,22,19,19,19
35200,62,28,22,19,19,19
35300,62,28,22,20,20,19
35400,63,28,22,20,20,19
35500,63,28,22,20,20,20
35600,63,28,22,20,20,19
35700,63,28,22,21,20,19
35800,63,28,22,20,20,20
35900,64,28,22,20,20,20
36000,64,28,23,20,20,20
36100,64,28,23,20,20,20
36200,64,29,23,20,20,20
36300,64,29,23,20,20,20
36400,65,29,23,20,20,20
36500,65,29,23,20,20,20
36600,65,29,23,20,20,20
36700,65,29,23,20,20,20
36800,67,29,23,20,20,20
36900,66,29,23,20,20,20
37000,66,29,23,20,20,20
37100,66,29,23,21,21,20
37200,66,29,23,21,21,20
37300,67,29,23,21,21,21
37400,66,29,23,21,21,21
37500,67,29,23,21,21,21
37600,67,29,23,21,21,21
37700,67,29,24,21,21,21
37800,67,29,24,21,21,21
37900,67,29,24,21,21,21
38000,69,30,24,21,21,21
38100,68,30,24,21,21,21
38200,68,30,24,21,21,21
38300,68,30,24,21,21,21
38400,68,30,24,21,21,21
38500,68,30,24,21,21,21
38600,69,30,24,21,21,21
38700,69,30,24,21,21,22
38800,69,30,24,21,22,22
38900,69,30,24,22,22,22
39000,69,30,24,22,22,22
39100,69,30,24,22,22,22
39200,70,30,24,22,22,22
39300,70,30,24,22,22,22
39400,70,30,24,22,22,22
39500,71,30,24,22,22,22
39600,70,30,25,22,22,22
39700,70,30,25,22,22,22
39800,71,30,25,22,22,22
39900,71,30,25,22,22,22
40000,71,31,25,22,22,22
40100,71,31,25,22,22,22
40200,71,31,25,22,22,22
40300,72,33,25,22,22,23
40400,72,31,25,22,22,23
40500,72,31,25,22,22,23
40600,72,31,25,22,22,23
40700,72,31,25,23,23,23
40800,73,32,26,23,23,23
40900,73,31,25,24,23,23
41000,73,31,25,23,23,30
41100,73,31,26,23,23,23
41200,73,32,26,23,23,23
41300,73,32,26,23,23,23
41400,74,32,26,24,23,23
41500,74,32,26,24,23,23
41600,74,32,27,24,23,23
41700,74,32,27,24,23,23
41800,74,33,27,24,23,24
41900,75,33,27,24,23,24
42000,75,33,27,24,23,24
42100,76,34,27,25,24,24
42200,76,34,28,25,24,24
42300,75,34,29,25,23,25
42400,76,34,28,26,24,24
42500,76,35,28,26,24,24
42600,77,35,28,26,24,24
42700,77,34,29,26,25,24
42800,76,35,29,26,24,25
42900,77,35,30,26,24,25
43000,77,35,29,27,24,25
43100,77,35,29,27,24,24
43200,79,35,30,27,24,24
43300,77,36,30,26,24,25
43400,77,36,30,27,24,25
43500,77,36,30,27,24,25
43600,78,36,30,27,24,25
43700,78,36,31,27,24,25
43800,78,36,31,27,24,25
43900,78,39,31,27,24,25
44000,78,37,31,27,24,25
44100,79,37,31,27,24,25
44200,79,37,32,27,25,25
44300,79,37,32,27,25,25
44400,79,38,32,27,25,26
44500,79,38,32,27,25,26
44600,79,38,32,27,25,26
44700,80,40,33,27,25,26
44800,80,38,33,27,25,26
44900,80,39,33,27,25,26
45000,80,39,33,27,25,26
45100,80,39,33,27,25,26
45200,80,39,33,28,25,26
45300,81,39,33,28,25,26
45400,81,40,33,28,25,26
45500,81,40,33,28,25,26
45600,81,40,34,28,25,26
45700,82,40,34,28,25,26
45800,82,40,34,28,25,26
45900,82,40,34,28,26,26
46000,82,41,34,28,26,27
46100,82,41,34,28,26,27
46200,82,41,34,28,26,27
46300,83,41,34,28,26,27
46400,83,41,34,28,26,27
46500,83,42,34,28,26,27
46600,83,42,34,28,26,27
46700,83,42,34,28,26,27
46800,83,42,34,28,26,27
46900,83,42,34,28,26,27
47000,84,43,34,28,26,27
47100,84,43,34,29,26,27
47200,84,43,34,29,26,27
47300,84,43,34,29,26,27
47400,84,43,35,29,32,28
47500,86,44,35,30,27,28
47600,86,44,35,32,27,28
47700,85,44,35,29,27,28
47800,85,44,35,29,27,28
47900,86,44,35,29,27,28
48000,86,44,35,29,27,28
48100,86,45,35,29,27,28
48200,86,45,35,29,27,28
48300,86,45,35,29,27,28
48400,86,45,35,29,27,28
48500,87,45,35,29,27,28
48600,87,46,35,29,27,28
48700,87,46,35,29,28,29
48800,87,46,35,30,27,29
48900,87,46,35,30,27,29
49000,87,46,35,30,27,29
49100,88,47,35,30,27,29
49200,88,47,35,30,27,29
49300,88,47,36,30,28,29
49400,88,47,36,30,28,29
49500,88,47,36,30,28,29
49600,89,47,36,30,28,29
49700,89,47,36,30,28,29
49800,89,47,36,30,28,29
49900,90,47,36,30,28,30
50000,89,47,36,30,28,29
50100,90,47,36,30,28,30
50200,90,47,36,30,31,30
50300,91,48,36,30,28,30
50400,90,47,37,30,28,30
50500,91,48,36,31,28,30
50600,91,48,37,30,28,30
50700,91,48,36,31,28,30
50800,92,48,37,31,29,30
50900,91,48,36,31,29,30
51000,92,48,37,31,29,31
51100,91,48,36,31,29,30
51200,92,48,37,31,29,30
51300,92,48,37,31,29,30
51400,92,48,37,31,29,30
51500,92,48,37,31,29,30
51600,93,48,37,31,29,30
51700,93,48,37,31,30,30
51800,93,48,37,32,30,30
51900,98,49,37,31,29,30
52000,94,48,37,31,29,29
52100,93,48,37,31,30,30
52200,94,49,37,32,29,29
52300,94,48,37,33,30,29
52400,94,49,37,31,29,30
52500,94,49,37,31,29,30
52600,97,49,37,32,30,30
52700,94,49,37,32,30,30
52800,96,49,39,32,30,30
52900,95,49,38,32,30,30
53000,95,49,38,32,30,30
53100,96,54,38,32,30,30
53200,95,49,38,32,30,30
53300,96,49,38,32,30,30
53400,96,49,38,32,30,30
53500,96,49,38,32,30,30
53600,96,49,38,32,30,30
53700,96,49,38,32,30,30
53800,97,49,38,32,30,30
53900,97,49,38,32,30,31
54000,97,49,38,32,30,30
54100,97,52,41,33,31,31
54200,98,50,38,33,31,31
54300,98,50,38,33,31,31
54400,98,50,39,33,31,31
54500,98,50,38,33,31,31
54600,98,50,38,33,31,31
54700,98,50,39,33,31,31
54800,99,50,39,33,31,31
54900,99,50,39,33,31,31
55000,99,50,39,33,31,31
55100,99,50,39,33,31,31
55200,100,51,39,33,31,32
55300,99,50,39,33,31,31
55400,100,50,39,33,32,31
55500,100,50,39,33,31,31
55600,100,51,39,33,32,32
55700,100,50,39,33,32,32
55800,100,50,39,33,32,32
55900,101,51,40,33,32,32
56000,101,51,39,34,32,32
56100,101,51,39,34,32,32
56200,101,51,39,34,32,32
56300,102,51,40,34,32,32
56400,101,51,39,34,32,32
56500,102,51,40,34,32,32
56600,102,51,40,34,32,32
56700,102,51,40,34,33,32
56800,104,53,41,34,33,32
56900,104,51,40,34,33,32
57000,104,52,40,34,32,33
57100,104,52,40,35,32,33
57200,103,52,40,35,32,33
57300,104,51,40,35,33,33
57400,104,52,40,34,33,33
57500,105,51,41,35,33,33
57600,105,52,41,34,33,33
57700,105,52,41,35,33,33
57800,105,52,40,35,33,33
57900,111,52,40,35,33,33
58000,104,52,40,35,33,36
58100,105,52,40,35,33,33
58200,105,52,40,35,33,33
58300,105,52,40,36,33,33
58400,105,52,41,35,33,33
58500,105,52,41,35,33,33
58600,108,52,41,35,34,33
58700,106,52,41,35,34,33
58800,106,52,41,35,35,36
58900,107,52,42,36,34,34
59000,107,53,42,35,34,34
59100,107,53,41,35,34,34
59200,108,53,41,36,34,34
59300,108,53,41,35,34,34
59400,108,53,41,35,34,34
59500,108,53,41,35,34,34
59600,108,53,41,35,34,34
59700,108,53,41,36,34,34
59800,108,53,41,36,34,34
59900,108,53,41,36,34,34
60000,108,53,41,36,34,34
60100,109,53,41,36,34,34
60200,108,53,42,36,34,34
60300,109,53,42,36,34,34
60400,109,53,42,36,35,35
60500,109,53,42,36,36,35
60600,113,53,42,36,35,35
60700,109,53,42,36,35,35
60800,110,53,42,36,39,35
60900,110,53,42,36,35,35
61000,110,53,42,36,35,35
61100,110,53,42,36,35,35
61200,110,54,42,36,35,35
61300,110,54,42,37,35,35
61400,111,54,42,37,35,35
61500,111,54,42,37,35,35
61600,111,54,42,37,35,35
61700,112,54,42,37,36,35
61800,112,54,42,37,36,35
61900,112,54,42,37,36,36
62000,112,54,43,37,36,36
62100,112,54,43,37,36,36
62200,112,54,43,38,36,36
62300,112,54,43,37,36,36
62400,113,54,43,37,37,36
62500,113,54,43,37,37,36
62600,117,54,43,37,37,36
62700,117,54,43,37,37,36
62800,113,54,43,39,37,36
62900,114,55,43,37,37,36
63000,114,55,43,37,37,36
63100,114,55,43,37,37,36
63200,114,55,43,38,37,36
63300,114,55,43,38,37,36
63400,114,55,43,38,38,37
63500,115,55,43,38,38,37
63600,115,55,43,38,40,37
63700,115,55,43,38,38,37
63800,115,55,44,38,38,37
63900,115,55,44,38,38,37
64000,116,55,44,38,38,37
64100,116,55,44,38,38,37
64200,116,55,45,38,38,37
64300,116,55,44,38,38,37
64400,116,55,44,38,38,37
64500,117,56,45,38,39,37
64600,117,55,44,39,38,37
64700,117,56,44,38,38,37
64800,117,55,44,38,39,37
64900,117,56,44,38,39,37
65000,117,56,44,39,39,38
65100,118,56,44,39,39,38
65200,118,56,44,39,39,38
65300,118,56,44,39,39,38
65400,118,56,44,39,39,38
65500,118,56,44,39,39,38
65600,118,56,44,39,39,38
65700,119,56,45,39,39,38
65800,119,56,45,39,39,38
65900,119,56,45,39,39,38
66000,119,56,45,39,39,38
66100,121,57,45,40,39,38
66200,120,56,48,40,42,39
66300,128,58,47,42,41,40
66400,124,58,47,43,41,40
66500,125,58,47,41,41,40
66600,124,59,46,40,41,39
66700,123,57,45,40,40,39
66800,126,57,45,40,40,39
66900,121,57,45,40,41,39
67000,122,57,45,40,40,39
67100,121,57,46,40,40,39
67200,122,57,45,41,40,39
67300,122,57,46,40,40,39
67400,122,57,45,40,40,40
67500,122,57,46,40,41,39
67600,123,57,46,40,40,39
67700,122,58,46,40,40,39
67800,123,57,46,40,40,40
67900,123,58,46,40,40,39
68000,123,57,46,41,40,40
68100,123,58,46,40,40,40
68200,124,57,46,40,40,40
68300,127,58,46,40,40,40
68400,124,58,46,41,40,40
68500,124,58,46,41,41,40
68600,124,58,46,41,41,40
68700,124,58,46,41,41,40
68800,124,58,46,42,42,41
68900,127,58,47,43,41,41
69000,125,58,49,41,42,40
69100,125,59,46,41,41,41
69200,126,58,47,41,41,40
69300,125,59,47,41,41,40
69400,127,58,48,41,41,41
69500,126,58,47,44,41,40
69600,126,59,47,41,41,41
69700,127,58,47,41,41,41
69800,126,58,47,41,42,41
69900,126,58,47,41,41,41
70000,127,58,47,42,41,41
70100,127,59,47,41,42,41
70200,127,59,47,42,42,41
70300,128,59,48,42,42,42
70400,129,59,47,43,42,42
70500,128,59,47,42,42,42
70600,128,59,47,42,42,42
70700,128,59,47,42,42,41
70800,131,59,47,42,42,41
70900,128,59,47,42,42,41
71000,128,59,48,42,42,41
71100,129,59,48,42,42,41
71200,129,59,48,42,42,42
71300,129,60,49,42,43,42
71400,130,60,48,43,42,42
71500,131,59,48,43,42,43
71600,131,59,48,42,43,42
71700,130,60,48,43,43,42
71800,131,60,48,43,42,42
71900,131,60,48,43,42,43
72000,131,60,48,43,43,42
72100,131,60,49,43,43,42
72200,134,60,48,43,43,42
72300,131,60,48,43,43,42
72400,131,60,48,43,43,43
72500,131,60,48,43,43,43
72600,132,60,49,43,43,43
72700,132,60,48,43,43,43
72800,132,60,48,43,43,43
72900,132,60,49,43,43,43
73000,133,60,49,43,43,43
73100,134,61,49,43,43,43
73200,145,61,49,43,43,43
73300,133,60,49,43,43,43
73400,133,61,49,44,43,43
73500,133,61,49,44,43,43
73600,134,61,49,44,44,43
73700,134,61,49,44,44,43
73800,134,61,49,44,44,43
73900,134,61,49,44,44,43
74000,134,61,49,44,44,44
74100,143,62,51,48,44,44
74200,135,61,49,44,44,44
74300,135,61,49,44,44,44
74400,135,61,49,44,44,44
74500,135,61,50,44,44,44
74600,135,61,50,44,44,44
74700,136,61,50,44,44,44
74800,136,61,50,49,45,44
74900,136,62,51,45,45,44
75000,136,62,50,45,45,44
75100,136,62,50,45,45,44
75200,137,62,50,45,48,45
75300,142,62,50,45,45,45
75400,137,62,51,45,45,45
75500,137,62,50,45,45,45
75600,137,62,50,45,45,45
75700,137,62,50,45,45,45
75800,137,63,51,45,46,45
75900,138,63,52,45,46,45
76000,139,62,52,45,46,45
76100,138,63,51,45,46,45
76200,139,63,51,45,45,46
76300,139,63,51,46,45,46
76400,139,62,51,46,46,46
76500,140,63,51,47,46,46
76600,139,63,51,46,46,46
76700,140,63,51,46,46,46
76800,139,62,51,46,46,46
76900,140,63,54,46,46,46
77000,140,63,51,46,46,46
77100,140,63,51,46,46,46
77200,141,63,51,46,46,46
77300,140,63,51,46,46,46
77400,141,63,51,46,46,46
77500,141,63,51,46,46,46
77600,141,63,51,46,46,46
77700,141,66,52,47,46,48
77800,143,64,52,46,46,53
77900,141,66,52,46,46,46
78000,142,63,55,46,46,47
78100,142,63,52,46,46,47
78200,142,63,52,47,46,47
78300,142,63,52,47,47,47
78400,142,64,52,47,47,47
78500,143,64,52,47,47,47
78600,143,64,52,47,47,47
78700,143,64,52,47,47,47
78800,143,64,52,47,47,47
78900,144,69,52,47,47,47
79000,144,64,52,47,47,47
79100,144,64,52,47,47,47
79200,144,65,52,47,47,47
79300,144,64,52,47,47,48
79400,144,64,52,47,47,48
79500,145,64,52,47,48,48
79600,145,64,53,47,47,48
79700,145,64,53,47,47,48
79800,145,64,53,48,54,48
79900,145,64,53,48,48,48
80000,145,64,53,48,48,48
80100,146,64,53,48,48,48
80200,146,64,53,48,48,48
80300,146,65,53,48,51,48
80400,146,65,53,48,48,48
80500,147,65,53,48,48,50
80600,147,65,53,48,48,48
80700,147,65,53,48,48,49
80800,147,65,53,48,48,49
80900,147,65,53,48,48,49
81000,147,65,53,48,48,49
81100,149,65,53,48,48,49
81200,148,65,53,48,48,49
81300,148,65,54,48,48,49
81400,148,65,53,48,48,49
81500,150,65,54,49,49,49
81600,148,65,54,48,49,50
81700,149,65,54,49,49,49
81800,149,65,54,49,49,49
81900,149,66,54,49,49,49
82000,149,66,54,49,49,49
82100,149,68,55,49,49,49
82200,149,66,54,49,49,50
82300,150,67,55,50,49,50
82400,150,67,55,50,49,50
82500,151,67,55,50,49,51
82600,151,67,56,50,49,50
82700,151,67,55,50,49,50
82800,151,67,56,50,49,51
82900,151,67,56,51,49,50
83000,151,68,56,51,49,50
83100,151,68,56,51,49,50
83200,151,68,56,51,50,50
83300,151,68,57,51,50,50
83400,151,68,57,51,50,50
83500,152,68,57,57,51,51
83600,152,69,58,53,50,51
83700,153,70,58,52,50,51
83800,154,69,58,53,50,51
83900,152,69,58,52,50,51
84000,153,72,58,52,50,51
84100,153,70,58,53,50,51
84200,157,70,59,53,50,51
84300,153,70,58,53,50,51
84400,153,70,59,53,50,51
84500,154,70,59,53,50,51
84600,154,71,59,54,50,51
84700,154,71,59,54,51,51
84800,154,71,60,54,51,52
84900,155,72,60,54,51,52
85000,155,72,60,54,51,52
85100,155,72,60,55,51,52
85200,155,74,60,55,51,52
85300,155,72,61,55,51,52
85400,156,72,61,55,51,52
85500,156,72,61,55,51,52
85600,156,73,61,55,51,52
85700,156,73,61,56,51,52
85800,156,76,62,56,51,52
85900,156,73,62,56,51,52
86000,161,74,62,56,51,53
86100,157,74,62,56,51,52
86200,158,74,62,56,51,52
86300,158,74,63,56,52,53
86400,157,74,63,56,52,53
86500,157,74,63,57,52,53
86600,158,75,63,57,52,53
86700,158,75,63,57,52,53
86800,158,75,64,57,52,53
86900,158,75,64,59,53,54
87000,158,75,64,57,52,53
87100,159,76,64,57,52,53
87200,159,76,64,57,52,53
87300,159,76,65,57,52,53
87400,161,76,65,57,52,54
87500,159,76,65,57,52,54
87600,160,77,65,57,52,54
87700,160,90,66,57,52,54
87800,160,78,65,57,53,54
87900,160,77,66,57,53,54
88000,160,77,66,57,53,54
88100,161,78,66,57,53,54
88200,161,78,66,58,53,54
88300,161,78,67,58,53,54
88400,161,80,67,58,53,55
88500,161,78,67,58,53,54
88600,162,79,67,58,54,55
88700,172,79,67,58,53,57
88800,164,83,68,60,53,56
88900,162,79,68,58,57,55
89000,162,79,74,58,53,55
89100,162,80,68,58,53,55
89200,170,86,69,59,53,56
89300,167,82,70,58,54,55
89400,165,90,69,59,53,56
89500,163,82,69,58,55,57
89600,167,81,71,60,55,56
89700,164,100,75,60,54,56
89800,164,81,70,60,56,57
89900,166,81,70,59,54,57
90000,167,82,78,72,57,56
90100,171,83,72,62,54,58
90200,172,85,73,62,57,57
90300,168,82,72,60,55,57
90400,169,85,73,60,55,57
90500,171,84,73,61,56,57
90600,169,85,71,59,56,57
90700,173,83,73,61,55,56
90800,170,84,72,60,56,58
90900,168,89,73,61,55,58
91000,172,86,73,59,56,58
91100,172,86,73,62,100,58
91200,171,86,73,61,56,61
91300,171,86,73,61,57,57
91400,176,86,72,60,55,58
91500,171,85,73,60,56,57
91600,180,87,73,60,55,57
91700,180,87,72,61,56,57
91800,168,88,74,61,57,59
91900,181,90,76,62,55,60
92000,173,86,73,61,56,59
92100,173,88,72,60,57,59
92200,171,89,78,61,58,59
92300,173,87,73,60,57,60
92400,190,88,77,61,56,61
92500,172,88,73,62,56,57
92600,170,87,72,60,55,58
92700,172,89,73,60,56,59
92800,173,88,82,66,59,59
